Hashtag_name,Following,Followers,Total_tweets,Activity_level,Semantic_similarity,Polarity,subjectivity,Degree Centrality,katz_centrality,betweenness_centrality,closeness_centrality,Page_rank,Label
LionCoin,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.8128307116011746,0.5049545101911278,0.5424242424242425,0.040540540540540494,0.0592378596866671,0.0,0.7386760381158616,0.038508585683677335,0.0
WednesdayMotivation,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.8929796976168152,0.4581846392552366,0.2423809523809524,0.9594594594594594,0.9597747412741758,0.8593588633542332,0.9692757062799526,0.9098245830003726,1.0
wednesdaythought,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.8142004658912517,0.28133242823894483,0.3424999999999999,1.0,1.0,1.0,1.0,1.0,1.0
LionCoin,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.7376465937050177,0.5049545101911278,0.5424242424242425,0.040540540540540494,0.0592378596866671,0.0,0.7386760381158616,0.038508585683677335,0.0
WednesdayMotivation,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.8825219914904913,0.4581846392552366,0.2423809523809524,0.9594594594594594,0.9597747412741758,0.8593588633542332,0.9692757062799526,0.9098245830003726,1.0
wednesdaythought,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.7948876620930392,0.28133242823894483,0.3424999999999999,1.0,1.0,1.0,1.0,1.0,1.0
whiskerswednesday,0.2744930019994287,0.04879273911386704,0.028245243489073226,0.00852303180892231,0.6998982033678626,0.655023273855702,0.515,0.02702702702702719,0.026323376746457836,0.0,0.025871544119719387,0.06260325624913564,0.0
CatsOfTwitter,0.2744930019994287,0.04879273911386704,0.028245243489073226,0.00852303180892231,0.6108176646542994,0.3078064391000776,0.2299999999999999,0.02702702702702719,0.026323376746457836,0.0,0.025871544119719387,0.06260325624913564,0.0
Canada,0.2744930019994287,0.04879273911386704,0.028245243489073226,0.00852303180892231,0.3979158908672083,0.32063615205585727,0.2283333333333333,0.02702702702702719,0.026323376746457836,0.0,0.025871544119719387,0.06260325624913564,0.0
catcoin,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.6980019019246307,0.27734678044996125,0.1178571428571428,0.0810810810810813,0.097579324102249,0.05896036970196402,0.7452631688562935,0.09198473003071637,0.0
ToComICL,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.20139841730304944,0.21799844840961985,0.0,0.02702702702702719,0.02679237382893171,0.0,0.5071388334953546,0.03913360235677099,0.0
LiraCovarde,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.5771204422074695,0.22288595810705975,0.1,0.02702702702702719,0.02679237382893171,0.0,0.5071388334953546,0.03913360235677099,0.0
catcoin,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.7607106055993466,0.27734678044996125,0.1178571428571428,0.0810810810810813,0.097579324102249,0.05896036970196402,0.7452631688562935,0.09198473003071637,0.0
ToComICL,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.2631733923772543,0.21799844840961985,0.0,0.02702702702702719,0.02679237382893171,0.0,0.5071388334953546,0.03913360235677099,0.0
