Hashtag_name,Following,Followers,Total_tweets,Activity_level,Semantic_similarity,Polarity,subjectivity,Degree Centrality,katz_centrality,betweenness_centrality,closeness_centrality,Page_rank,Label
EndlessFashion,0.012018875280642083,0.000854816402449537,0.09727425836448492,0.09798606691789344,0.6248688218004285,0.45075757575757575,0.3649621212121212,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
BarbzGoStream,0.012018875280642083,0.000854816402449537,0.09727425836448492,0.09798606691789344,0.6565940457734826,0.4444444444444445,0.4444444444444444,0.29101765423327886,0.4659626412227891,0.25620565859029526,0.5253503172085812,0.19597988749524853,0.0
EndlessFashion,0.010271164110078916,0.00012664649942999582,0.002951995892021865,0.0035490440154369975,0.5697249361688658,0.45075757575757575,0.3649621212121212,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.010271164110078916,0.00012664649942999582,0.002951995892021865,0.0035490440154369975,0.5434721143279312,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
Barbie,0.010271164110078916,0.00012664649942999582,0.002951995892021865,0.0035490440154369975,0.4822566449164503,0.3981481481481482,0.2133333333333333,0.12839666380574175,0.35954065629027404,0.009027668509251378,0.4237547339474594,0.08747131684567955,0.0
BarbieWorld,0.004933923073820631,7.044355515521507e-05,0.0035380487454367967,0.034854111087344423,0.6584420574385997,0.4155092592592593,0.2291666666666666,0.04708616859197319,0.3036308117352234,0.0,0.418215382859125,0.03409158476483998,0.0
EndlessFashion,0.004933923073820631,7.044355515521507e-05,0.0035380487454367967,0.034854111087344423,0.4675412516339084,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.004933923073820631,7.044355515521507e-05,0.0035380487454367967,0.034854111087344423,0.5306104323512272,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
Barbie,0.004933923073820631,7.044355515521507e-05,0.0035380487454367967,0.034854111087344423,0.5362684048246739,0.3981481481481482,0.2133333333333333,0.12839666380574175,0.35954065629027404,0.009027668509251378,0.4237547339474594,0.08747131684567955,0.0
EndlessFashion,0.013538039605823912,0.00025784999434173063,0.0016992728668394682,0.009951040759895818,0.48251240937675,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
